Borough,Neighborhood,Latitude,Longitude,Population,Intensive Care Beds,Medical / Surgical Beds,Total Beds,Intensive Care Bed Per Hundred People,Bed Per Hundred People
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,9481.0,12,71,103,0.12656892732834088,1.0863832929015926
Bronx,Woodlawn,40.898272612138044,-73.86731496814177,42483.0,16,206,321,0.037662123672998614,0.7555963561895347
Bronx,Norwood,40.87722415599446,-73.8793907395681,40494.0,80,776,1169,0.1975601323652887,2.886847434187781
Bronx,Pelham Parkway,40.857413498088654,-73.85475564017999,30073.0,22,304,421,0.07315532204967912,1.3999268446779503
Bronx,Morris Heights,40.847897926062714,-73.91967159119567,36779.0,28,271,444,0.0761304005002855,1.207210636504527
Bronx,Fordham,40.86099679638654,-73.89642655981623,43394.0,70,593,1029,0.16131262386505046,2.3712955708162418
Bronx,East Tremont,40.84269615786053,-73.88735617532338,43423.0,14,151,282,0.0322409782833982,0.6494254197084495
Bronx,Melrose,40.819754370594936,-73.90942160757436,24913.0,59,520,1118,0.23682414803516236,4.487616906835789
Bronx,Morrisania,40.823591985855344,-73.90150648943059,16863.0,26,250,585,0.15418371582755144,3.4691336061199074
Bronx,Pelham Bay,40.85064140940335,-73.8320737824047,11931.0,0,225,225,0.0,1.8858436007040482
Brooklyn,Bensonhurst,40.61100890202044,-73.99517998380729,151705.0,8,183,204,0.005273392439273591,0.13447150720147655
Brooklyn,Bensonhurst,40.61100890202044,-73.99517998380729,151705.0,8,183,204,0.005273392439273591,0.13447150720147655
Brooklyn,Sunset Park,40.64510294925429,-74.01031618527784,126000.0,24,128,364,0.01904761904761905,0.28888888888888886
Brooklyn,Gravesend,40.59526001306593,-73.97347087708445,29436.0,22,213,371,0.07473841554559044,1.2603614621551842
Brooklyn,Gravesend,40.59526001306593,-73.97347087708445,29436.0,22,213,371,0.07473841554559044,1.2603614621551842
Brooklyn,Brighton Beach,40.57682506566604,-73.96509448785335,35547.0,17,252,306,0.04782400765184122,0.860832137733142
Brooklyn,Crown Heights,40.67082917695294,-73.94329119073582,143000.0,13,104,287,0.00909090909090909,0.2006993006993007
Brooklyn,Crown Heights,40.67082917695294,-73.94329119073582,143000.0,13,104,287,0.00909090909090909,0.2006993006993007
Brooklyn,Windsor Terrace,40.65694583575104,-73.98007340430172,20988.0,40,560,839,0.1905850962454736,3.9975223937488087
